CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;CNPJ_ADMIN;ADMIN;CONDOM;FUNDO_EXCLUSIVO;COTST_INTERESSE;TAB_I_VL_ATIVO;TAB_I1_VL_DISP;TAB_I2_VL_CARTEIRA;TAB_I2A_VL_DIRCRED_RISCO;TAB_I2A1_VL_CRED_VENC_AD;TAB_I2A2_VL_CRED_VENC_INAD;TAB_I2A21_VL_TOTAL_PARCELA_INAD;TAB_I2A3_VL_CRED_INAD;TAB_I2A4_VL_CRED_DIRCRED_PERFM;TAB_I2A5_VL_CRED_VENCIDO_PENDENTE;TAB_I2A6_VL_CRED_EMP_RECUP;TAB_I2A7_VL_CRED_RECEITA_PUBLICA;TAB_I2A8_VL_CRED_ACAO_JUDIC;TAB_I2A9_VL_CRED_FATOR_RISCO;TAB_I2A10_VL_CRED_DIVERSO;TAB_I2A11_VL_REDUCAO_RECUP;TAB_I2B_VL_DIRCRED_SEM_RISCO;TAB_I2B1_CPF_CNPJ_CEDENTE_1;TAB_I2B1_PR_CEDENTE_1;TAB_I2B1_CPF_CNPJ_CEDENTE_2;TAB_I2B1_PR_CEDENTE_2;TAB_I2B1_CPF_CNPJ_CEDENTE_3;TAB_I2B1_PR_CEDENTE_3;TAB_I2B1_CPF_CNPJ_CEDENTE_4;TAB_I2B1_PR_CEDENTE_4;TAB_I2B1_CPF_CNPJ_CEDENTE_5;TAB_I2B1_PR_CEDENTE_5;TAB_I2B1_CPF_CNPJ_CEDENTE_6;TAB_I2B1_PR_CEDENTE_6;TAB_I2B1_CPF_CNPJ_CEDENTE_7;TAB_I2B1_PR_CEDENTE_7;TAB_I2B1_CPF_CNPJ_CEDENTE_8;TAB_I2B1_PR_CEDENTE_8;TAB_I2B1_CPF_CNPJ_CEDENTE_9;TAB_I2B1_PR_CEDENTE_9;TAB_I2C_VL_VLMOB;TAB_I2C1_VL_DEBENTURE;TAB_I2C2_VL_CRI;TAB_I2C3_VL_NP_COMERC;TAB_I2C4_VL_LETRA_FINANC;TAB_I2C5_VL_COTA_FUNDO_ICVM555;TAB_I2C6_VL_OUTRO;TAB_I2D_VL_TITPUB_FED;TAB_I2E_VL_CDB;TAB_I2F_VL_OPER_COMPROM;TAB_I2G_VL_OUTRO_RF;TAB_I2H_VL_COTA_FIDC;TAB_I2I_VL_COTA_FIDC_NP;TAB_I2J_VL_CONTRATO_FUTURO;TAB_I3_VL_POSICAO_DERIV;TAB_I3A_VL_MERCADO_TERMO;TAB_I3B_VL_MERCADO_OPCAO;TAB_I3C_VL_MERCADO_FUTURO;TAB_I3D_VL_DIFER_SWAP;TAB_I3E_VL_COBERTURA;TAB_I3F_VL_DEPOSITO_MARGEM;TAB_I4_VL_OUTRO_ATIVO;TAB_I4A_VL_CPRAZO;TAB_I4B_VL_LPRAZO
07.399.646/0001-32;FIDC DA INDÚSTRIA EXODUS I;2019-03-31;33.918.160/0001-73;GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.;FECHADO;N;N;3731565.24;1.00;2342600.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2342600.06;2171371000161;45.99;62603733000178;22.82;4139235000110;22.11;10156658000140;14.84;5429459000200;14.48;3087331000107;14.22;451687000181;13.07;0;;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1388964.18;1388964.18;0.00
07.507.899/0001-82;GP FIDC FCVS;2019-03-31;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.;FECHADO;N;N;11752089.26;70461.26;11674389.10;10336387.71;10548688.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;212301.05;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1338001.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7238.90;7238.90;0.00
07.670.637/0001-34;MULTICRÉDITO I FIDC;2019-03-31;52.904.364/0001-08;NECTON INVESTIMENTOS S.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES;ABERTO;N;S;3031805.94;1533.90;3030272.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;3030272.04;0.00;0.00;0.00;0.00;3030272.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07.727.002/0001-26;FIDC NÃO-PADRONIZADO PCG-BRASIL MULTICARTEIRA;2019-03-31;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;FECHADO;N;S;1539192357.98;300.00;1450318438.74;883359549.70;895560833.41;0.00;0.00;1594699.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13795982.78;0.00;;0.00;0;;0;;0;;0;;0;;0;;0;;0;;566958889.04;24402567.43;0.00;0.00;0.00;542556321.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;88873619.24;88873619.24;0.00
07.727.757/0001-20;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL EMPRESARIAL LP;2019-03-31;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;FECHADO;N;N;185943314.67;17708.32;181470471.15;5633616.11;5545441.32;0.00;0.00;12304973.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12216798.38;153274672.77;;;;;;;;;;;;;;;;;;;22167931.44;0.00;0.00;0.00;0.00;22167931.44;0.00;394250.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4455135.20;4455135.20;0.00
07.738.319/0001-68;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SP RECEBIVEIS PREMIUM I;2019-03-31;11.758.741/0001-52;BANCO FINAXIS S.A.;ABERTO;N;N;9966419.08;11075.52;9884906.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9481201.02;51314375000167;23.43;7003660000175;20.30;50087022000109;20.09;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;127434.60;0.00;276270.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;70437.44;70437.44;0.00
07.742.454/0001-87;GP - FIDC FCVS 2;2019-03-31;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.;FECHADO;N;N;44749539.74;1269.53;44748270.21;44748270.21;44748270.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7441184.54;0.00;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07.964.366/0001-20;FIDC NP AMÉRICA MULTICARTEIRA;2019-03-31;02.671.743/0001-19;CM CAPITAL MARKETS DTVM LTDA;FECHADO;N;N;3269228.68;3794.33;3265434.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;3265434.35;0.00;0.00;0.00;0.00;3265434.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
08.093.745/0001-54;V1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTICARTEIRA OUTROS;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;N;N;20870701.51;6841.25;16454646.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;16294324.41;0.00;0.00;0.00;0.00;0.00;16294324.41;0.00;0.00;160321.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4409213.95;0.00;4409213.95
08.140.051/0001-20;FICFIDC NP GLOBAL MARKETS;2019-03-31;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.;FECHADO;N;N;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
08.203.825/0001-15;OURINVEST FIDC VEÍCULOS II;2019-03-31;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.;FECHADO;N;N;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
08.270.249/0001-29;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MACCRED NÃO PADRONIZADO;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;N;S;21702534.88;6315.60;21292551.57;18637498.47;13631808.52;5987173.79;1235751.31;1360431.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2341915.78;0.00;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;230184.34;0.00;2424868.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;403667.71;403667.71;0.00
08.315.045/0001-67;FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS MULTISETORIAL HOPE LP;2019-03-31;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;FECHADO;N;N;118333738.61;69287.15;115895245.63;66681.55;66681.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;109797687.17;;;;;;;;;;;;;;;;;;;4348714.32;0.00;0.00;0.00;0.00;4348714.32;0.00;469915.14;0.00;1212247.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2369205.83;2369205.83;0.00
08.387.157/0001-23;POLO PRECATÓRIO FEDERAL FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS NAO PADRONIZADOS;2019-03-31;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.;FECHADO;S;S;2104825.64;143.45;2104682.19;2104537.71;8737447.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6632909.38;0.00;;;;;;;;;;;;;;;;;;;144.48;0.00;0.00;0.00;0.00;144.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
08.417.544/0001-65;CRÉDITO UNIVERSITÁRIO FIDC;2019-03-31;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.;FECHADO;N;N;718675520.54;1842178.96;715174152.24;629615544.79;653858702.01;0.00;0.00;9074256.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33317413.69;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24828585.37;47324729.70;13405292.38;0.00;0.00;0.00;0.00;202187.68;0.00;0.00;0.00;202187.68;0.00;0.00;1457001.66;1457001.66;0.00
08.611.414/0001-69;V3 FIDC MULTICARTEIRA - NP;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;N;N;488263731.77;3676.84;23256931.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;23196810.91;0.00;23196810.91;0.00;0.00;0.00;0.00;0.00;0.00;60120.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;465003123.31;0.00;465003123.31
08.621.199/0001-87;FAMCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL NÃO PADRONIZADOS;2019-03-31;15.489.568/0001-95;INTRADER DTVM LTDA;FECHADO;N;N;323832626.12;1551404.74;309333083.93;244857402.13;223170948.60;0.00;0.00;36957132.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15270678.70;0.00;;;;;;;;;;;;;;;;;;;63095328.27;0.00;0.00;0.00;0.00;63095328.27;0.00;1380353.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12948137.45;12948137.45;0.00
08.632.394/0001-02;RED - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP;2019-03-31;03.317.692/0001-94;FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;FECHADO;N;N;639004519.48;3290827.31;612142194.90;1128239.89;1095137.31;0.00;0.00;33102.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;596454313.51;;;;;;;;;;;;;;;;;;;10963289.37;0.00;0.00;0.00;0.00;10963289.37;0.00;2875243.60;721108.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23571497.27;23571497.27;0.00
08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;N;S;153747336.87;7464.52;150204204.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;130211397.02;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;6176007.98;0.00;0.00;0.00;0.00;6176007.98;0.00;119469.96;0.00;13697329.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3535667.52;3535667.52;0.00
08.661.352/0001-08;ZMF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2019-03-31;34.829.992/0001-86;REAG DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;FECHADO;N;S;1182524372.13;10455.54;1182511976.31;1182131000.00;0.00;1182131000.00;100000000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1182131000.00;0.00;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;370967.51;0.00;10008.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1940.28;1940.28;0.00
08.678.936/0001-88;SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;ABERTO;N;N;551100023.07;1295.34;538798154.70;2297583.25;1647322.09;534505.18;168754.54;118662.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2906.03;368585257.63;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;148695983.84;0.00;0.00;0.00;0.00;148695983.84;0.00;2287908.32;0.00;16931421.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12300573.03;12300573.03;0.00
08.692.888/0001-82;CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2019-03-31;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.;ABERTO;N;N;677067388.50;836.36;675788918.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;621917322.76;6951711000128;79.31;78632767000120;18.08;;;;;;;;;;;;;;;38291487.93;0.00;0.00;0.00;0.00;38291487.93;0.00;15580108.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1277633.21;1277633.21;0.00
08.756.222/0001-40;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS TRADEMAX;2019-03-31;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;FECHADO;N;N;71871904.97;7810.44;69382857.55;308192.41;440274.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;132082.47;57506542.52;99999999999999;0.00;0;;0;;0;;0;;0;;0;;0;;0;;3668588.13;3668588.13;0.00;0.00;0.00;0.00;0.00;3066414.10;0.00;3454370.48;1378749.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2481236.98;2481236.56;0.42
08.927.488/0001-09;FIDC TRENDBANK BANCO DE FOMENTO - MULTISETORIAL;2019-03-31;45.246.410/0001-55;PLURAL S.A. BANCO MULTIPLO;FECHADO;N;N;1411598.81;0.00;1266288.27;662676.73;662676.73;0.00;0.00;6618574.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6618574.25;0.00;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;571262.28;0.00;32349.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;145310.54;145310.54;0.00
08.930.397/0001-22;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL PROSPECTA LP;2019-03-31;11.758.741/0001-52;BANCO FINAXIS S.A.;FECHADO;N;N;29124332.66;155772.86;28184693.89;3228410.29;3664664.25;0.00;0.00;205495.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;641749.55;21773126.11;;;;;;;;;;;;;;;;;;;3119440.18;0.00;0.00;0.00;0.00;3119440.18;0.00;63717.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;783865.91;783865.91;0.00
